state,percent_smoking,elderly_percentage,fullname
AK,20.7,11.8,Alaska
AL,20.45,17.77,Alabama
AR,21.78,19.02,Arkansas
AZ,17.5,20.07,Arizona
CA,12.79,17.07,California
CO,14.83,18.27,Colorado
CT,13.93,16.86,Connecticut
DC,12.5,11.9,"Washington, D.C."
DE,16.17,19.03,Delaware
FL,19.81,21.22,Florida
GA,20.45,16.63,Georgia
HI,12.52,17.58,Hawaii
IA,16.77,19.39,Iowa
ID,16.29,18.11,Idaho
IL,18.15,18.58,Illinois
IN,20.89,16.92,Indiana
KS,17.72,19.45,Kansas
KY,24.38,16.99,Kentucky
LA,21.91,15.53,Louisiana
MA,12.73,17.64,Massachusetts
MD,14.58,16.87,Maryland
ME,17.56,21.13,Maine
MI,19.59,20.7,Michigan
MN,17.67,18.95,Minnesota
MO,21.73,18.89,Missouri
MS,20.59,16.21,Mississippi
MT,17.63,20.82,Montana
NC,19.01,18.97,North Carolina
ND,17.79,20.23,North Dakota
NE,15.7,20.92,Nebraska
NH,14.97,19.02,New Hampshire
NJ,12.83,16.14,New Jersey
NM,16.31,20.3,New Mexico
NV,19.21,19.65,Nevada
NY,16.17,17.62,New York
OH,22.66,17.36,Ohio
OK,21.6,17.6,Oklahoma
OR,15.86,21.07,Oregon
PA,18.73,19.33,Pennsylvania
RI,13.86,18.46,Rhode Island
SC,19.62,18.26,South Carolina
SD,19.07,18.81,South Dakota
TN,23.51,18.49,Tennessee
TX,18.32,17.53,Texas
UT,10.38,14.18,Utah
VA,17.69,18.56,Virginia
VT,14.49,19.46,Vermont
WA,15.05,19.66,Washington
WI,17.33,19.13,Wisconsin
WV,23.52,20.09,West Virginia
WY,17.47,17.19,Wyoming
